time,util_pct,mem_used,power_w,sm_clk
18:10:00,3 %, 23989 MiB, 16.56 W, 690 MHz
18:10:02,2 %, 23987 MiB, 16.08 W, 682 MHz
18:10:04,2 %, 23970 MiB, 16.33 W, 637 MHz
18:10:05,2 %, 23967 MiB, 16.37 W, 682 MHz
18:10:07,3 %, 23971 MiB, 15.87 W, 562 MHz
18:10:08,2 %, 23977 MiB, 16.60 W, 697 MHz
18:10:10,2 %, 23970 MiB, 16.09 W, 645 MHz
18:10:12,2 %, 23970 MiB, 16.33 W, 690 MHz
18:10:13,2 %, 23967 MiB, 16.17 W, 652 MHz
18:10:15,24 %, 23967 MiB, 64.04 W, 1815 MHz
18:10:16,27 %, 23967 MiB, 66.52 W, 2160 MHz
18:10:18,28 %, 23967 MiB, 61.82 W, 2107 MHz
18:10:20,24 %, 23967 MiB, 71.51 W, 1845 MHz
18:10:21,19 %, 23967 MiB, 63.12 W, 1762 MHz
18:10:23,24 %, 23967 MiB, 65.67 W, 2175 MHz
18:10:25,2 %, 23968 MiB, 24.33 W, 870 MHz
18:10:26,2 %, 23968 MiB, 20.61 W, 622 MHz
18:10:28,2 %, 23968 MiB, 20.63 W, 660 MHz
18:10:30,2 %, 23968 MiB, 20.19 W, 525 MHz
18:10:31,2 %, 23974 MiB, 16.85 W, 690 MHz
18:10:33,2 %, 23972 MiB, 16.19 W, 682 MHz
18:10:34,3 %, 23975 MiB, 15.53 W, 532 MHz
18:10:36,2 %, 23982 MiB, 16.68 W, 757 MHz
18:10:38,2 %, 23986 MiB, 17.23 W, 750 MHz
18:10:39,2 %, 23981 MiB, 16.13 W, 660 MHz
18:10:41,2 %, 23976 MiB, 16.19 W, 690 MHz
18:10:43,2 %, 23970 MiB, 16.16 W, 697 MHz
18:10:44,2 %, 23970 MiB, 15.57 W, 660 MHz
18:10:46,2 %, 23970 MiB, 15.93 W, 682 MHz
18:10:47,2 %, 23970 MiB, 16.09 W, 660 MHz
18:10:49,2 %, 23972 MiB, 15.69 W, 622 MHz
18:10:51,2 %, 23972 MiB, 15.85 W, 667 MHz
18:10:52,2 %, 23972 MiB, 16.09 W, 712 MHz
18:10:54,2 %, 23970 MiB, 15.84 W, 637 MHz
18:10:55,2 %, 23970 MiB, 15.77 W, 675 MHz
18:10:57,2 %, 23972 MiB, 16.06 W, 682 MHz
18:10:59,2 %, 23972 MiB, 15.73 W, 645 MHz
18:11:00,2 %, 23972 MiB, 16.20 W, 742 MHz
18:11:02,2 %, 23970 MiB, 15.90 W, 690 MHz
18:11:03,2 %, 23970 MiB, 15.81 W, 690 MHz
18:11:05,2 %, 23970 MiB, 15.95 W, 660 MHz
18:11:07,2 %, 23970 MiB, 16.43 W, 750 MHz
18:11:08,2 %, 23970 MiB, 16.17 W, 682 MHz
18:11:10,2 %, 23970 MiB, 15.86 W, 675 MHz
18:11:11,2 %, 23970 MiB, 15.86 W, 705 MHz
18:11:13,2 %, 23970 MiB, 15.68 W, 645 MHz
18:11:15,2 %, 23970 MiB, 15.82 W, 690 MHz
18:11:16,2 %, 23970 MiB, 15.95 W, 682 MHz
18:11:18,2 %, 23970 MiB, 15.54 W, 645 MHz
18:11:19,2 %, 23970 MiB, 15.49 W, 667 MHz
